submission_id,benchmark,split,display_name,reported_score_percent,agent,agent_org,model_ids,model_display,model_org,attempts,attempts_raw,checked,checked_raw,open_source_system,open_source_system_raw,open_source_model,open_source_model_raw,resolved_count,no_generation_count,no_logs_count,assets_json,metadata_path,results_path,reconstructed_resolved_count,n_tasks,reconstructed_score_percent,resolved_count_matches,score_difference_percent,reported_score_available,reported_score_matches
20231010_rag_claude2,swe-bench,verified,RAG + Claude 2,,RAG baseline,,"[""claude-2""]",Claude 2,Anthropic,1.0,1,True,true,True,true,False,false,22,1,0,"{""logs"": ""s3://swe-bench-submissions/verified/20231010_rag_claude2/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20231010_rag_claude2/metadata.yaml,external/swebench-experiments/evaluation/verified/20231010_rag_claude2/results/results.json,22,500,4.4,True,,False,False
20231010_rag_gpt35,swe-bench,verified,RAG + ChatGPT 3.5,,RAG baseline,SWE-agent,[],GPT-3.5,OpenAI,1.0,1,True,true,True,true,False,false,2,0,0,"{""logs"": ""s3://swe-bench-submissions/verified/20231010_rag_gpt35/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20231010_rag_gpt35/metadata.yaml,external/swebench-experiments/evaluation/verified/20231010_rag_gpt35/results/results.json,2,500,0.4,True,,False,False
20231010_rag_swellama13b,swe-bench,verified,RAG + SWE-Llama 13B,,RAG baseline,SWE-agent,[],SWE-Llama 13B,Meta,1.0,1,True,true,True,true,False,false,6,2,0,"{""logs"": ""s3://swe-bench-submissions/verified/20231010_rag_swellama13b/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20231010_rag_swellama13b/metadata.yaml,external/swebench-experiments/evaluation/verified/20231010_rag_swellama13b/results/results.json,6,500,1.2,True,,False,False
20231010_rag_swellama7b,swe-bench,verified,RAG + SWE-Llama 7B,,RAG baseline,SWE-agent,"[""SWE-Llama""]",SWE-Llama 7B,Meta,1.0,1,True,true,True,true,False,false,7,2,0,"{""logs"": ""s3://swe-bench-submissions/verified/20231010_rag_swellama7b/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20231010_rag_swellama7b/metadata.yaml,external/swebench-experiments/evaluation/verified/20231010_rag_swellama7b/results/results.json,7,500,1.4,True,,False,False
20240402_rag_claude3opus,swe-bench,verified,RAG + Claude 3 Opus,,RAG baseline,,"[""claude-3-opus-20240229""]",Claude 3 Opus,Anthropic,,2+,True,true,True,true,False,false,35,0,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240402_rag_claude3opus/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20240402_rag_claude3opus/metadata.yaml,external/swebench-experiments/evaluation/verified/20240402_rag_claude3opus/results/results.json,35,500,7.0,True,,False,False
20240402_rag_gpt4,swe-bench,verified,RAG + GPT 4 (1106),,RAG baseline,,"[""gpt-4-1106-preview""]",GPT-4 (1106),OpenAI,,2+,True,true,True,true,False,false,14,0,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240402_rag_gpt4/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20240402_rag_gpt4/metadata.yaml,external/swebench-experiments/evaluation/verified/20240402_rag_gpt4/results/results.json,14,500,2.8,True,,False,False
20240402_sweagent_claude3opus,swe-bench,verified,SWE-agent + Claude 3 Opus,,SWE-agent,SWE-agent,"[""claude-3-opus-20240229""]",Claude 3 Opus,Anthropic,1.0,1,True,true,True,true,False,false,79,41,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240402_sweagent_claude3opus/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240402_sweagent_claude3opus/trajs""}",external/swebench-experiments/evaluation/verified/20240402_sweagent_claude3opus/metadata.yaml,external/swebench-experiments/evaluation/verified/20240402_sweagent_claude3opus/results/results.json,79,500,15.8,True,,False,False
20240402_sweagent_gpt4,swe-bench,verified,SWE-agent + GPT 4 (1106),,SWE-agent,SWE-agent,"[""gpt-4-1106-preview""]",GPT-4 (1106),OpenAI,1.0,1,True,true,True,true,False,false,112,30,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240402_sweagent_gpt4/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240402_sweagent_gpt4/trajs""}",external/swebench-experiments/evaluation/verified/20240402_sweagent_gpt4/metadata.yaml,external/swebench-experiments/evaluation/verified/20240402_sweagent_gpt4/results/results.json,112,500,22.4,True,,False,False
20240509_amazon-q-developer-agent-20240430-dev,swe-bench,verified,Amazon Q Developer Agent (v20240430-dev),,Amazon Q Developer Agent,AWS,[],Undisclosed,,,2+,False,false,False,false,False,false,128,3,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240509_amazon-q-developer-agent-20240430-dev/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20240509_amazon-q-developer-agent-20240430-dev/metadata.yaml,external/swebench-experiments/evaluation/verified/20240509_amazon-q-developer-agent-20240430-dev/results/results.json,128,500,25.6,True,,False,False
20240612_MASAI_gpt4o,swe-bench,verified,MASAI + GPT 4o (2024-06-12),,MASAI,,"[""gpt-4o-2024-08-06""]",GPT-4o,OpenAI,,2+,False,false,False,false,False,false,163,22,4,"{""logs"": ""s3://swe-bench-submissions/verified/20240612_MASAI_gpt4o/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240612_MASAI_gpt4o/trajs""}",external/swebench-experiments/evaluation/verified/20240612_MASAI_gpt4o/metadata.yaml,external/swebench-experiments/evaluation/verified/20240612_MASAI_gpt4o/results/results.json,163,500,32.6,True,,False,False
